TimeStamp,o,h,l,c,v
2024-06-19,680.0,680.0,663.0,663.0,49127
2024-06-20,670.1,687.0,670.0,681.0,44637
2024-06-23,692.0,692.0,679.0,680.1,29455
2024-06-24,680.0,690.9,676.0,677.0,35134
2024-06-25,690.0,690.0,666.0,667.0,26916
2024-06-26,654.0,673.0,654.0,662.0,26882
2024-06-27,675.2,683.0,664.0,668.0,17824
2024-06-30,681.3,681.3,662.0,663.0,15417
2024-07-01,676.2,676.2,660.2,660.2,18447
2024-07-02,667.0,677.9,660.0,662.0,25073
2024-07-03,671.0,680.0,664.0,674.0,21789
2024-07-04,686.9,686.9,662.7,662.7,38139
2024-07-07,663.0,665.0,655.0,656.0,16864
2024-07-08,656.5,667.0,650.0,650.1,47284
2024-07-09,660.0,660.0,652.0,660.0,18606
2024-07-10,673.2,699.0,664.0,668.0,18608
2024-07-11,676.0,676.0,660.0,663.0,14698
2024-07-14,665.0,677.0,665.0,672.0,27194
2024-07-15,680.0,680.0,670.0,670.1,28571
2024-07-16,666.0,683.5,666.0,677.0,26449
2024-07-17,676.0,695.0,670.0,695.0,58358
2024-07-18,695.0,706.0,695.0,699.0,84438
2024-07-21,712.0,712.0,688.0,694.0,66858
2024-07-22,707.8,711.0,690.0,694.0,60226
2024-07-23,707.0,707.0,680.0,681.0,46011
2024-07-24,693.0,703.0,680.2,702.9,35658
2024-07-25,716.0,720.0,695.0,714.5,64938
2024-07-28,719.3,745.0,719.3,739.0,143311
2024-07-29,739.0,802.0,739.0,793.0,304639
2024-07-30,800.0,806.0,786.0,794.1,144762
2024-07-31,792.0,816.0,785.0,815.9,135418
2024-08-01,820.0,828.0,792.0,819.9,189394
2024-08-04,820.0,882.0,809.0,879.8,278293
2024-08-05,897.3,932.2,844.8,861.0,122132
2024-08-06,878.2,878.2,821.0,845.0,165854
2024-08-07,850.0,875.0,825.2,859.0,120043
2024-08-08,875.0,944.0,848.0,944.0,165671
2024-08-11,925.2,960.0,889.9,929.0,186207
2024-08-12,947.5,1004.0,896.0,985.0,163400
2024-08-13,965.3,969.0,888.1,918.0,185535
2024-08-14,917.0,934.0,870.0,917.3,136073
2024-08-15,935.6,935.6,898.0,912.0,131473
2024-08-18,930.2,930.2,907.0,911.0,106948
2024-08-19,920.0,920.0,891.3,910.0,129005
2024-08-20,910.0,910.0,875.0,880.0,66189
2024-08-21,870.1,885.0,860.0,872.0,72828
2024-08-22,880.0,906.0,864.0,880.0,109693
2024-08-25,897.6,897.9,863.4,865.0,91028
2024-08-26,882.0,882.0,850.0,850.0,59035
2024-08-27,867.0,867.0,840.0,842.0,80767
2024-08-28,858.0,885.0,832.0,851.0,110882
2024-08-29,865.0,868.0,805.0,820.0,80794
2024-09-01,836.4,853.0,793.0,801.0,42672
2024-09-02,795.0,810.0,780.0,786.2,45284
2024-09-03,798.0,798.0,775.0,777.0,37731
2024-09-04,787.9,820.0,772.0,815.0,54150
2024-09-05,831.0,840.0,795.0,818.0,33369
2024-09-08,810.0,825.0,780.0,787.0,44012
2024-09-09,775.0,802.7,765.0,785.0,40640
2024-09-10,800.0,810.0,784.1,784.5,33288
2024-09-11,787.1,796.0,755.5,758.0,36746
2024-09-12,773.1,775.0,750.8,755.0,27816
2024-09-15,768.0,768.0,745.0,745.3,25687
2024-09-16,750.0,805.0,750.0,790.0,27101
2024-09-17,802.0,802.0,752.0,759.9,29577
2024-09-18,744.8,774.7,712.0,715.0,41288
