TimeStamp,o,h,l,c,v
2024-06-19,237.74,243.4,237.74,239.25,37723
2024-06-20,240.57,243.4,236.79,242.45,28169
2024-06-23,247.26,249.06,240.57,240.57,28442
2024-06-24,240.57,240.57,236.04,237.83,18494
2024-06-25,242.36,245.09,236.7,241.6,15575
2024-06-26,246.42,246.42,237.74,237.74,31041
2024-06-27,233.96,235.85,232.08,233.02,20560
2024-06-30,237.64,237.64,230.19,233.96,31765
2024-07-01,238.58,238.58,227.17,227.92,28286
2024-07-02,232.45,232.45,222.64,225.47,36625
2024-07-03,229.25,238.77,225.85,236.32,20740
2024-07-04,241.04,241.04,231.13,233.02,19863
2024-07-07,230.19,234.72,229.62,232.08,6577
2024-07-08,227.83,233.68,227.83,229.81,7767
2024-07-09,230.19,233.11,228.3,229.25,15997
2024-07-10,229.25,229.25,225.28,226.42,17197
2024-07-11,222.17,226.42,221.7,223.49,28196
2024-07-14,219.81,223.58,216.98,218.87,39729
2024-07-15,216.98,219.81,216.98,218.87,13174
2024-07-16,223.21,224.53,219.81,223.49,13894
2024-07-17,219.15,226.98,219.15,226.98,10311
2024-07-18,228.3,230.19,228.3,230.19,9776
2024-07-21,233.96,233.96,226.42,226.7,21846
2024-07-22,231.13,231.13,219.81,219.81,18086
2024-07-23,223.49,223.49,218.58,222.64,14510
2024-07-24,219.34,225.47,219.34,222.17,11475
2024-07-25,219.34,226.42,219.34,221.7,11016
2024-07-28,219.34,222.64,215.0,219.81,44397
2024-07-29,216.04,224.15,216.04,219.81,15443
2024-07-30,221.7,221.7,219.06,220.75,6950
2024-07-31,224.53,224.53,218.87,222.64,8012
2024-08-01,226.32,230.75,218.21,224.53,22343
2024-08-04,220.19,222.64,218.87,219.91,15122
2024-08-05,216.98,218.87,215.09,216.98,15009
2024-08-06,215.57,218.87,212.64,215.09,17781
2024-08-07,217.92,217.92,212.74,214.15,8471
2024-08-08,214.15,215.09,208.49,214.06,23285
2024-08-11,213.3,214.15,206.89,209.43,24444
2024-08-12,205.75,210.38,202.83,203.3,39909
2024-08-13,203.02,216.04,202.83,215.09,120056
2024-08-14,216.98,219.81,215.09,219.81,30899
2024-08-15,215.57,222.55,212.26,222.17,35945
2024-08-18,226.6,226.6,216.04,222.64,201818
2024-08-19,218.4,219.81,215.66,216.98,29876
2024-08-20,214.15,217.92,213.21,214.25,227130
2024-08-21,218.0,224.0,214.2,216.8,47106
2024-08-22,216.6,216.6,209.4,209.7,25076
2024-08-25,206.0,212.0,204.0,208.0,17181
2024-08-26,208.0,213.0,205.1,206.0,14328
2024-08-27,204.0,207.9,202.0,205.5,12243
2024-08-28,202.0,207.0,202.0,203.0,18575
2024-08-29,203.0,203.0,199.0,199.1,19480
2024-09-01,198.0,204.0,196.0,197.6,10764
2024-09-02,197.6,205.0,195.2,199.0,12000
2024-09-03,200.0,202.0,198.0,199.0,6022
2024-09-04,198.0,200.0,196.2,197.0,9710
2024-09-05,200.9,207.0,197.1,205.0,25638
2024-09-08,208.0,216.0,208.0,210.4,23245
2024-09-09,211.0,214.0,205.9,208.0,11860
2024-09-10,210.0,212.0,205.0,210.1,23346
2024-09-11,211.6,213.0,208.6,208.9,32432
2024-09-12,208.0,212.0,207.0,207.0,30558
2024-09-15,207.0,214.0,205.1,205.1,31356
2024-09-16,209.0,212.0,205.0,208.1,21828
2024-09-17,212.0,215.5,207.0,207.2,55481
2024-09-18,211.0,213.0,207.0,207.3,76723
