TimeStamp,o,h,l,c,v
2024-06-24,111.79,115.72,111.79,112.78,4154
2024-06-25,113.76,113.76,111.79,111.79,146
2024-06-26,110.82,112.78,110.82,112.78,2070
2024-06-27,114.74,116.7,114.74,114.74,170
2024-06-30,116.7,116.7,115.72,115.72,60
2024-07-01,113.76,113.76,108.85,112.78,4820
2024-07-02,110.81,110.81,105.91,110.81,5867
2024-07-03,111.79,113.75,111.79,113.75,50
2024-07-04,115.71,115.71,115.71,115.71,270
2024-07-07,113.75,113.75,113.75,113.75,200
2024-07-08,111.79,111.79,105.9,105.9,3391
2024-07-09,103.94,103.94,101.98,103.94,100
2024-07-10,102.95,102.95,102.95,102.95,1000
2024-07-11,100.95,100.95,97.95,97.95,4380
2024-07-14,98.95,98.95,98.95,98.95,2500
2024-07-15,99.95,99.95,99.95,99.95,500
2024-07-16,101.95,101.95,101.95,101.95,100
2024-07-17,99.95,100.95,99.95,100.95,210
2024-07-18,99.95,101.95,99.95,101.95,137
2024-07-21,100.95,100.95,100.95,100.95,300
2024-07-22,98.95,98.95,97.95,98.95,600
2024-07-23,97.95,97.95,96.95,96.95,1000
2024-07-24,97.95,98.95,97.95,98.95,1200
2024-07-25,99.95,101.95,99.95,101.95,2340
2024-07-28,100.95,100.95,100.95,100.95,120
2024-07-29,102.95,102.95,102.95,102.95,100
2024-07-30,104.93,104.93,102.95,104.93,680
2024-07-31,106.91,106.91,106.91,106.91,500
2024-08-01,106.91,110.86,106.91,110.86,1220
2024-08-04,108.89,112.85,108.89,112.85,60
2024-08-05,114.83,117.8,112.85,117.8,14300
2024-08-06,115.83,115.83,110.88,110.88,4010
2024-08-07,112.86,112.86,112.86,112.86,2500
2024-08-08,114.84,114.84,114.84,114.84,500
2024-08-11,112.86,112.86,109.89,109.89,2750
2024-08-12,111.87,111.87,109.89,109.89,256
2024-08-13,107.91,109.89,107.91,109.89,1477
2024-08-14,108.9,108.9,108.9,108.9,300
2024-08-15,107.9,107.9,105.92,105.92,600
2024-08-18,103.94,103.94,103.94,103.94,100
2024-08-19,104.93,104.93,104.93,104.93,500
2024-08-20,102.95,102.95,102.95,102.95,200
2024-08-21,100.97,101.96,100.97,101.96,2000
2024-08-22,100.97,100.97,100.97,100.97,667
2024-08-25,99.98,100.97,98.0,100.97,2217
2024-08-26,98.99,98.99,98.99,98.99,100
2024-08-27,98.99,98.99,98.99,98.99,890
2024-08-28,97.01,97.01,97.01,97.01,20
2024-08-29,96.02,97.01,96.02,97.01,70
2024-09-01,97.01,97.01,97.01,97.01,4460
2024-09-02,98.0,98.99,98.0,98.99,110
2024-09-03,99.99,102.99,99.99,102.99,1230
2024-09-04,100.99,102.99,98.99,102.99,6220
2024-09-05,100.99,100.99,100.99,100.99,30
2024-09-08,101.99,101.99,101.99,101.99,800
2024-09-09,101.99,103.99,101.99,103.99,287
2024-09-10,101.99,102.99,101.99,102.99,540
2024-09-11,102.99,104.99,102.99,104.99,550
2024-09-12,105.99,105.99,104.99,104.99,303
2024-09-15,103.99,103.99,103.99,103.99,10
2024-09-16,102.0,102.0,101.0,101.0,547
2024-09-17,103.0,103.0,103.0,103.0,130
2024-09-18,101.0,101.0,101.0,101.0,800
